x1,x2,x3,filename
T1,LIVB 9883 9888,rye- ,1-s2.0-S0167880919304013-main.ann
T2,LIVB 9895 9909,Lolium perenne,1-s2.0-S0167880919304013-main.ann
T3,LIVB 50749 50766,Laëtitia Gauthier,1-s2.0-S0167880919304013-main.ann
T4,LIVB 52780 52797,"Buckthought, L.E.",1-s2.0-S0167880919304013-main.ann
T5,LIVB 53087 53104,"Buckthought, L.E.",1-s2.0-S0167880919304013-main.ann
T6,LIVB 54192 54200,Cardenas,1-s2.0-S0167880919304013-main.ann
T7,LIVB 54208 54214,Dhanoa,1-s2.0-S0167880919304013-main.ann
T8,LIVB 55044 55061,Sanchez-rodriguez,1-s2.0-S0167880919304013-main.ann
T9,LIVB 55122 55133,Misselbrook,1-s2.0-S0167880919304013-main.ann
T10,LIVB 55398 55407,Tregurtha,1-s2.0-S0167880919304013-main.ann
T11,LIVB 55422 55431,Tregurtha,1-s2.0-S0167880919304013-main.ann
T12,LIVB 56986 56993,Lanigan,1-s2.0-S0167880919304013-main.ann
T13,LIVB 57439 57450,"Harty, M.A.",1-s2.0-S0167880919304013-main.ann
T14,LIVB 57452 57461,Forrestal,1-s2.0-S0167880919304013-main.ann
T15,LIVB 60393 60403,Betteridge,1-s2.0-S0167880919304013-main.ann
T16,LIVB 60409 60416,Cichota,1-s2.0-S0167880919304013-main.ann
T17,LIVB 62099 62109,Glendining,1-s2.0-S0167880919304013-main.ann
T18,LIVB 62117 62124,Bellamy,1-s2.0-S0167880919304013-main.ann
T19,LIVB 62130 62141,Misselbrook,1-s2.0-S0167880919304013-main.ann
T20,LIVB 64706 64718,Nejadhashemi,1-s2.0-S0167880919304013-main.ann
T21,LIVB 64954 64959,Owens,1-s2.0-S0167880919304013-main.ann
T22,LIVB 64967 64976,Trethewey,1-s2.0-S0167880919304013-main.ann
T23,LIVB 65247 65261,"Rowlings, D.W.",1-s2.0-S0167880919304013-main.ann
T24,LIVB 65493 65499,Saggar,1-s2.0-S0167880919304013-main.ann
T25,LIVB 65505 65512,Giltrap,1-s2.0-S0167880919304013-main.ann
T26,LIVB 65656 65660,deer,1-s2.0-S0167880919304013-main.ann
T27,LIVB 66967 66975,plantain,1-s2.0-S0167880919304013-main.ann
T0,LIVB 424 430,Evansa,1-s2.0-S0167880920301638-main.ann
T1,LIVB 476 486,P. Harrisa,1-s2.0-S0167880920301638-main.ann
T2,LIVB 505 515,Cardenasa ,1-s2.0-S0167880920301638-main.ann
T3,LIVB 823 834,Beef cattle,1-s2.0-S0167880920301638-main.ann
T4,LIVB 10766 10770,ewes,1-s2.0-S0167880920301638-main.ann
T5,LIVB 10950 10960,perennial ,1-s2.0-S0167880920301638-main.ann
T6,LIVB 10960 10968,ryegrass,1-s2.0-S0167880920301638-main.ann
T7,LIVB 10970 10984,Lolium perenne,1-s2.0-S0167880920301638-main.ann
T8,LIVB 11176 11188,White clover,1-s2.0-S0167880920301638-main.ann
T9,LIVB 11190 11217,Trifolium repens)/perennial,1-s2.0-S0167880920301638-main.ann
T10,LIVB 11528 11542,Lolium perenne,1-s2.0-S0167880920301638-main.ann
T11,LIVB 13810 13822,White clover,1-s2.0-S0167880920301638-main.ann
T12,LIVB 13851 13863,Higher Wyke ,1-s2.0-S0167880920301638-main.ann
T13,LIVB 17354 17366,white clover,1-s2.0-S0167880920301638-main.ann
T14,LIVB 25088 25104,White clover mix,1-s2.0-S0167880920301638-main.ann
T15,LIVB 41145 41157,white clover,1-s2.0-S0167880920301638-main.ann
T16,LIVB 45123 45135,white clover,1-s2.0-S0167880920301638-main.ann
T17,LIVB 54106 54118,white clover,1-s2.0-S0167880920301638-main.ann
T18,LIVB 58861 58863,HS,1-s2.0-S0167880920301638-main.ann
T19,LIVB 70241 70249,Cardenas,1-s2.0-S0167880920301638-main.ann
T20,LIVB 71447 71461,"Cardenas, L.M.",1-s2.0-S0167880920301638-main.ann
T21,LIVB 73446 73453,chicory,1-s2.0-S0167880920301638-main.ann
T22,LIVB 73458 73466,plantain,1-s2.0-S0167880920301638-main.ann
T23,LIVB 74119 74131,"Buchkina, N.",1-s2.0-S0167880920301638-main.ann
T24,LIVB 74133 74145,"Jhurreea, D.",1-s2.0-S0167880920301638-main.ann
T25,LIVB 74285 74300,Broadbalk Wheat,1-s2.0-S0167880920301638-main.ann
T26,LIVB 76405 76426,High Sugar Ryegrasses,1-s2.0-S0167880920301638-main.ann
T27,LIVB 77809 77816,Peukert,1-s2.0-S0167880920301638-main.ann
T28,LIVB 78566 78577,forage rape,1-s2.0-S0167880920301638-main.ann
T29,LIVB 78579 78596,Brassica napus L.,1-s2.0-S0167880920301638-main.ann
T30,LIVB 78642 78669,Lolium perenne L./Trifolium,1-s2.0-S0167880920301638-main.ann
T31,LIVB 78761 78769,Cardenas,1-s2.0-S0167880920301638-main.ann
T32,LIVB 80264 80278,Lolium perenne,1-s2.0-S0167880920301638-main.ann
T33,LIVB 80379 80385,Madari,1-s2.0-S0167880920301638-main.ann
T34,LIVB 80422 80430,Urquiaga,1-s2.0-S0167880920301638-main.ann
T35,LIVB 80436 80444,Jantalia,1-s2.0-S0167880920301638-main.ann
T36,LIVB 81395 81411,"López-Aizpún, M.",1-s2.0-S0167880920301638-main.ann
T37,LIVB 81429 81438,Charteris,1-s2.0-S0167880920301638-main.ann
T38,LIVB 81446 81453,Marsden,1-s2.0-S0167880920301638-main.ann
T39,LIVB 81461 81468,Ciganda,1-s2.0-S0167880920301638-main.ann
T40,LIVB 82249 82254,fungi,1-s2.0-S0167880920301638-main.ann
T41,LIVB 83433 83451,perennial ryegrass,1-s2.0-S0167880920301638-main.ann
T42,LIVB 83453 83470,Lolium perenne L.,1-s2.0-S0167880920301638-main.ann
T43,LIVB 83734 83744,"Oenema, O.",1-s2.0-S0167880920301638-main.ann
T44,LIVB 84248 84263,North Wyke Farm,1-s2.0-S0167880920301638-main.ann
T45,LIVB 84510 84515,sheep,1-s2.0-S0167880920301638-main.ann
T46,LIVB 84674 84692,High-sugar grasses,1-s2.0-S0167880920301638-main.ann
T47,LIVB 85942 85961,Plantago lanceolata,1-s2.0-S0167880920301638-main.ann
T48,LIVB 86466 86474,Cardenas,1-s2.0-S0167880920301638-main.ann
T49,LIVB 87373 87381,Venterea,1-s2.0-S0167880920301638-main.ann
T50,LIVB 87939 87953,"Venterea, R.T.",1-s2.0-S0167880920301638-main.ann
T51,LIVB 87955 87961,Parkin,1-s2.0-S0167880920301638-main.ann
T52,LIVB 87969 87977,Cardenas,1-s2.0-S0167880920301638-main.ann
T0,LIVB 10236 10244,ryegrass,1-s2.0-S0167880921004291-main.ann
T1,LIVB 10246 10258,Lolium per- ,1-s2.0-S0167880921004291-main.ann
T2,LIVB 11544 11555,coronavirus,1-s2.0-S0167880921004291-main.ann
T3,LIVB 11956 11968,Etesia mower,1-s2.0-S0167880921004291-main.ann
T4,LIVB 27025 27042,Holstein Friesian,1-s2.0-S0167880921004291-main.ann
T5,LIVB 62039 62049,Pyrozhenko,1-s2.0-S0167880921004291-main.ann
T6,LIVB 62610 62614,Dias,1-s2.0-S0167880921004291-main.ann
T7,LIVB 62624 62630,Pontes,1-s2.0-S0167880921004291-main.ann
T8,LIVB 63050 63058,Chadwick,1-s2.0-S0167880921004291-main.ann
T9,LIVB 63081 63088,Vallejo,1-s2.0-S0167880921004291-main.ann
T10,LIVB 63494 63503,"Cowan, N.",1-s2.0-S0167880921004291-main.ann
T11,LIVB 63688 63697,"Cowan, N.",1-s2.0-S0167880921004291-main.ann
T12,LIVB 63864 63873,"Cowan, N.",1-s2.0-S0167880921004291-main.ann
T13,LIVB 66831 66842,"Haszpra, L.",1-s2.0-S0167880921004291-main.ann
T14,LIVB 68286 68298,"Famulari, D.",1-s2.0-S0167880921004291-main.ann
T15,LIVB 69460 69468,"Levy, P.",1-s2.0-S0167880921004291-main.ann
T16,LIVB 69470 69479,"Cowan, N.",1-s2.0-S0167880921004291-main.ann
T17,LIVB 70123 70140,"L´opez-Aizpún, M.",1-s2.0-S0167880921004291-main.ann
T18,LIVB 70236 70245,C´ardenas,1-s2.0-S0167880921004291-main.ann
T19,LIVB 71663 71675,dairy cattle,1-s2.0-S0167880921004291-main.ann
T20,LIVB 73354 73363,Dairy cow,1-s2.0-S0167880921004291-main.ann
T21,LIVB 75190 75202,"Cardenas, L.",1-s2.0-S0167880921004291-main.ann
T22,LIVB 75938 75947,Dragosits,1-s2.0-S0167880921004291-main.ann
T23,LIVB 77294 77301,Lindsey,1-s2.0-S0167880921004291-main.ann
T24,LIVB 77334 77342,Schipper,1-s2.0-S0167880921004291-main.ann
T0,LIVB 41364 41370,Butler,1-s2.0-S0269749111006440-main.ann
T1,LIVB 41376 41384,Chadwick,1-s2.0-S0269749111006440-main.ann
T2,LIVB 46538 46546,Livesley,1-s2.0-S0269749111006440-main.ann
T3,LIVB 47670 47676,Acutis,1-s2.0-S0269749111006440-main.ann
T4,LIVB 47682 47691,Trevisiol,1-s2.0-S0269749111006440-main.ann
T5,LIVB 47790 47801,durum wheat,1-s2.0-S0269749111006440-main.ann
T0,LIVB 1471 1486,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T1,LIVB 2120 2131,J. gerardii,1-s2.0-S0272771412003058-main.ann
T2,LIVB 6470 6493,Juncus species (rushes),1-s2.0-S0272771412003058-main.ann
T3,LIVB 6882 6893,saltmarshes,1-s2.0-S0272771412003058-main.ann
T4,LIVB 10973 10996,Festuca rubra saltmarsh,1-s2.0-S0272771412003058-main.ann
T5,LIVB 11067 11093,Elytrigia repens saltmarsh,1-s2.0-S0272771412003058-main.ann
T6,LIVB 11323 11328,geese,1-s2.0-S0272771412003058-main.ann
T7,LIVB 11330 11350,Anser brachyrhynchus,1-s2.0-S0272771412003058-main.ann
T8,LIVB 22393 22399,Juncus,1-s2.0-S0272771412003058-main.ann
T9,LIVB 23094 23109,Septa suba seal,1-s2.0-S0272771412003058-main.ann
T10,LIVB 24192 24214,Agrostis stololinifera,1-s2.0-S0272771412003058-main.ann
T11,LIVB 24216 24231,Aster tripolium,1-s2.0-S0272771412003058-main.ann
T12,LIVB 24233 24249,Elytrigia repens,1-s2.0-S0272771412003058-main.ann
T13,LIVB 24251 24264,Festuca rubra,1-s2.0-S0272771412003058-main.ann
T14,LIVB 24266 24280,Glaux maritima,1-s2.0-S0272771412003058-main.ann
T15,LIVB 24282 24297,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T16,LIVB 24299 24319,Puccinellia maritima,1-s2.0-S0272771412003058-main.ann
T17,LIVB 24324 24343,Triglochin maritima,1-s2.0-S0272771412003058-main.ann
T18,LIVB 29025 29040,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T19,LIVB 35199 35214,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T20,LIVB 35216 35230,saltmarsh rush,1-s2.0-S0272771412003058-main.ann
T21,LIVB 37227 37242,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T22,LIVB 39098 39114,Elytrigia repens,1-s2.0-S0272771412003058-main.ann
T23,LIVB 39176 39191,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T24,LIVB 39271 39280,E. repens,1-s2.0-S0272771412003058-main.ann
T25,LIVB 39289 39295,Juncus,1-s2.0-S0272771412003058-main.ann
T26,LIVB 40676 40691,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T27,LIVB 42603 42609,Juncus,1-s2.0-S0272771412003058-main.ann
T28,LIVB 42649 42655,Juncus,1-s2.0-S0272771412003058-main.ann
T29,LIVB 42734 42748,Juncus effusus,1-s2.0-S0272771412003058-main.ann
T30,LIVB 42925 42939,Juncus e Carex,1-s2.0-S0272771412003058-main.ann
T31,LIVB 43854 43860,Juncus,1-s2.0-S0272771412003058-main.ann
T32,LIVB 46946 46955,saltmarsh,1-s2.0-S0272771412003058-main.ann
T33,LIVB 48465 48474,saltmarsh,1-s2.0-S0272771412003058-main.ann
T34,LIVB 49037 49043,Juncus,1-s2.0-S0272771412003058-main.ann
T35,LIVB 49315 49330,Juncus gerardii,1-s2.0-S0272771412003058-main.ann
T36,LIVB 49899 49910,J. gerardii,1-s2.0-S0272771412003058-main.ann
T37,LIVB 51293 51301,Shurpali,1-s2.0-S0272771412003058-main.ann
T38,LIVB 51325 51332,Laurila,1-s2.0-S0272771412003058-main.ann
T39,LIVB 53942 53949,Garbutt,1-s2.0-S0272771412003058-main.ann
T40,LIVB 55843 55849,Insect,1-s2.0-S0272771412003058-main.ann
T41,LIVB 56855 56866,saltmarshes,1-s2.0-S0272771412003058-main.ann
T42,LIVB 56931 56942,Saltmarshes,1-s2.0-S0272771412003058-main.ann
T43,LIVB 57891 57894,jak,1-s2.0-S0272771412003058-main.ann
T44,LIVB 58093 58123,Spartina alterniﬂora saltmarsh,1-s2.0-S0272771412003058-main.ann
T45,LIVB 60685 60692,Loiseau,1-s2.0-S0272771412003058-main.ann
T46,LIVB 60712 60719,Ceschia,1-s2.0-S0272771412003058-main.ann
T0,LIVB 12534 12542,ryegrass,1-s2.0-S0921344921003736-main.ann
T1,LIVB 12544 12561,Lolium perenne L.,1-s2.0-S0921344921003736-main.ann
T2,LIVB 13139 13144,sheep,1-s2.0-S0921344921003736-main.ann
T3,LIVB 13300 13317,Lolium perenne L.,1-s2.0-S0921344921003736-main.ann
T4,LIVB 29411 29416,Fungi,1-s2.0-S0921344921003736-main.ann
T5,LIVB 29425 29430,Fungi,1-s2.0-S0921344921003736-main.ann
T6,LIVB 29436 29449,Actinomycetes,1-s2.0-S0921344921003736-main.ann
T7,LIVB 29455 29463,Protozoa,1-s2.0-S0921344921003736-main.ann
T8,LIVB 30834 30847,actinomycetes,1-s2.0-S0921344921003736-main.ann
T9,LIVB 32931 32937,cattle,1-s2.0-S0921344921003736-main.ann
T10,LIVB 32997 33002,sheep,1-s2.0-S0921344921003736-main.ann
T11,LIVB 35201 35209,ryegrass,1-s2.0-S0921344921003736-main.ann
T12,LIVB 49563 49572,Cow Urine,1-s2.0-S0921344921003736-main.ann
T13,LIVB 49762 49774,cattle urine,1-s2.0-S0921344921003736-main.ann
T14,LIVB 50262 50267,Tobin,1-s2.0-S0921344921003736-main.ann
T15,LIVB 50275 50284,Forrestal,1-s2.0-S0921344921003736-main.ann
T16,LIVB 50292 50299,Danaher,1-s2.0-S0921344921003736-main.ann
T17,LIVB 51123 51131,Cardenas,1-s2.0-S0921344921003736-main.ann
T18,LIVB 51139 51145,Dhanoa,1-s2.0-S0921344921003736-main.ann
T19,LIVB 51153 51160,Donovan,1-s2.0-S0921344921003736-main.ann
T20,LIVB 51166 51177,Misselbrook,1-s2.0-S0921344921003736-main.ann
T21,LIVB 51616 51623,Dubovik,1-s2.0-S0921344921003736-main.ann
T22,LIVB 51630 51644,Liashchynskaya,1-s2.0-S0921344921003736-main.ann
T23,LIVB 51665 51670,Minke,1-s2.0-S0921344921003736-main.ann
T24,LIVB 52482 52487,Hines,1-s2.0-S0921344921003736-main.ann
T25,LIVB 52493 52499,Hollis,1-s2.0-S0921344921003736-main.ann
T26,LIVB 52505 52513,Economou,1-s2.0-S0921344921003736-main.ann
T27,LIVB 54712 54722,Pyrozhenko,1-s2.0-S0921344921003736-main.ann
T28,LIVB 56580 56585,Smyth,1-s2.0-S0921344921003736-main.ann
T29,LIVB 57026 57037,Liimatainen,1-s2.0-S0921344921003736-main.ann
T30,LIVB 57054 57065,Martikainen,1-s2.0-S0921344921003736-main.ann
T31,LIVB 57683 57692,Charteris,1-s2.0-S0921344921003736-main.ann
T32,LIVB 57700 57709,C´ardenas,1-s2.0-S0921344921003736-main.ann
T33,LIVB 58391 58404,"Marsden, K.A.",1-s2.0-S0921344921003736-main.ann
T34,LIVB 58722 58731,Charteris,1-s2.0-S0921344921003736-main.ann
T35,LIVB 59717 59725,Pihlatie,1-s2.0-S0921344921003736-main.ann
T36,LIVB 59731 59740,Syv¨asalo,1-s2.0-S0921344921003736-main.ann
T37,LIVB 59746 59754,Simojoki,1-s2.0-S0921344921003736-main.ann
T38,LIVB 59760 59765,Esala,1-s2.0-S0921344921003736-main.ann
T39,LIVB 60789 60798,"Poyda, A.",1-s2.0-S0921344921003736-main.ann
T40,LIVB 61013 61028,"Saarij¨arvi, K.",1-s2.0-S0921344921003736-main.ann
T41,LIVB 61030 61037,Mattila,1-s2.0-S0921344921003736-main.ann
T42,LIVB 62088 62096,Dettmann,1-s2.0-S0921344921003736-main.ann
T43,LIVB 62216 62223,Fabiosa,1-s2.0-S0921344921003736-main.ann
T44,LIVB 62267 62275,Sauheitl,1-s2.0-S0921344921003736-main.ann
T45,LIVB 63250 63263,Edwards-Jones,1-s2.0-S0921344921003736-main.ann
T46,LIVB 64466 64479,"Minkkinen, K.",1-s2.0-S0921344921003736-main.ann
T0,LIVB 8669 8681,white clover,1-s2.0-S0959652617324125-main.ann
T1,LIVB 8683 8705,Trifolium repens)/high,1-s2.0-S0959652617324125-main.ann
T2,LIVB 8722 8730,ryegrass,1-s2.0-S0959652617324125-main.ann
T3,LIVB 8732 8746,Lolium perenne,1-s2.0-S0959652617324125-main.ann
T4,LIVB 8954 8971,Hereford-Friesian,1-s2.0-S0959652617324125-main.ann
T5,LIVB 10258 10264,barley,1-s2.0-S0959652617324125-main.ann
T6,LIVB 10266 10281,Hordeum vulgare,1-s2.0-S0959652617324125-main.ann
T7,LIVB 10864 10870,white ,1-s2.0-S0959652617324125-main.ann
T8,LIVB 18556 18562,cattle,1-s2.0-S0959652617324125-main.ann
T9,LIVB 20950 20955,sheep,1-s2.0-S0959652617324125-main.ann
T10,LIVB 22036 22041,sheep,1-s2.0-S0959652617324125-main.ann
T11,LIVB 22763 22770,soybean,1-s2.0-S0959652617324125-main.ann
T12,LIVB 22772 22783,Glycine max,1-s2.0-S0959652617324125-main.ann
T13,LIVB 31432 31444,white clover,1-s2.0-S0959652617324125-main.ann
T14,LIVB 40347 40352,sheep,1-s2.0-S0959652617324125-main.ann
T15,LIVB 46221 46227,Little,1-s2.0-S0959652617324125-main.ann
T16,LIVB 46472 46477,Gallo,1-s2.0-S0959652617324125-main.ann
T17,LIVB 46483 46488,Pirlo,1-s2.0-S0959652617324125-main.ann
T18,LIVB 46494 46502,Ramanzin,1-s2.0-S0959652617324125-main.ann
T19,LIVB 46508 46520,Tagliapietra,1-s2.0-S0959652617324125-main.ann
T20,LIVB 48810 48828,"Abreu da Silva, M.",1-s2.0-S0959652617324125-main.ann
T21,LIVB 52076 52090,Lolium perenne,1-s2.0-S0959652617324125-main.ann
T22,LIVB 53393 53398,Ogino,1-s2.0-S0959652617324125-main.ann
T23,LIVB 53404 53416,Kaku K Fau -,1-s2.0-S0959652617324125-main.ann
T24,LIVB 53503 53526,Japanese Beef-fattening,1-s2.0-S0959652617324125-main.ann
T25,LIVB 53925 53931,North ,1-s2.0-S0959652617324125-main.ann
T26,LIVB 53931 53940,Wyke Farm,1-s2.0-S0959652617324125-main.ann
T27,LIVB 54311 54317,Rowley,1-s2.0-S0959652617324125-main.ann
T28,LIVB 57457 57470,"Wiedemann, S.",1-s2.0-S0959652617324125-main.ann
T29,LIVB 57612 57616,lamb,1-s2.0-S0959652617324125-main.ann
T0,LIVB 8269 8286,Holstein–Friesian,1-s2.0-S1751731112000316-main.ann
T1,LIVB 8644 8661,Holstein–Friesian,1-s2.0-S1751731112000316-main.ann
T2,LIVB 10580 10592,Maize silage,1-s2.0-S1751731112000316-main.ann
T3,LIVB 10593 10599,Barley,1-s2.0-S1751731112000316-main.ann
T4,LIVB 10618 10624,Grass ,1-s2.0-S1751731112000316-main.ann
T5,LIVB 10637 10649,Maize silage,1-s2.0-S1751731112000316-main.ann
T6,LIVB 10650 10662,Barley straw,1-s2.0-S1751731112000316-main.ann
T7,LIVB 14665 14707,concentrateofferedtolactatingcowsatpasture,1-s2.0-S1751731112000316-main.ann
T8,LIVB 14782 14794,Maize silage,1-s2.0-S1751731112000316-main.ann
T9,LIVB 14795 14807,Grass silage,1-s2.0-S1751731112000316-main.ann
T10,LIVB 14808 14820,Barley straw,1-s2.0-S1751731112000316-main.ann
T11,LIVB 14821 14834,Rolled barley,1-s2.0-S1751731112000316-main.ann
T12,LIVB 14835 14846,Citrus pulp,1-s2.0-S1751731112000316-main.ann
T13,LIVB 14847 14861,Soya bean meal,1-s2.0-S1751731112000316-main.ann
T14,LIVB 14862 14874,Maize gluten,1-s2.0-S1751731112000316-main.ann
T15,LIVB 14889 14900,Maize grain,1-s2.0-S1751731112000316-main.ann
T16,LIVB 14901 14914,Rapeseed meal,1-s2.0-S1751731112000316-main.ann
T17,LIVB 14915 14931,Palm kernel meal,1-s2.0-S1751731112000316-main.ann
T18,LIVB 14940 14966,Rolled wheat Vegetable oil,1-s2.0-S1751731112000316-main.ann
T19,LIVB 26984 26994,Beet pulpb,1-s2.0-S1751731112000316-main.ann
T20,LIVB 26995 27006,Palm kernel,1-s2.0-S1751731112000316-main.ann
T21,LIVB 27011 27022,Maize grain,1-s2.0-S1751731112000316-main.ann
T22,LIVB 27023 27035,Maize gluten,1-s2.0-S1751731112000316-main.ann
T23,LIVB 27036 27044,Molasses,1-s2.0-S1751731112000316-main.ann
T24,LIVB 27045 27056,Palm kernel,1-s2.0-S1751731112000316-main.ann
T25,LIVB 27062 27071,Rape meal,1-s2.0-S1751731112000316-main.ann
T26,LIVB 27072 27081,Soya bean,1-s2.0-S1751731112000316-main.ann
T27,LIVB 27087 27099,Rolled wheat,1-s2.0-S1751731112000316-main.ann
T28,LIVB 27113 27126,Rolled barley,1-s2.0-S1751731112000316-main.ann
T29,LIVB 27127 27136,Beet pulp,1-s2.0-S1751731112000316-main.ann
T30,LIVB 27137 27149,Maize gluten,1-s2.0-S1751731112000316-main.ann
T31,LIVB 27150 27159,Soya bean,1-s2.0-S1751731112000316-main.ann
T32,LIVB 27165 27176,Palm kernel,1-s2.0-S1751731112000316-main.ann
T33,LIVB 27517 27521,rape,1-s2.0-S1751731112000316-main.ann
T34,LIVB 52303 52306,TMR,1-s2.0-S1751731112000316-main.ann
T35,LIVB 52311 52328,Holstein–Friesian,1-s2.0-S1751731112000316-main.ann
T36,LIVB 54128 54137,soya bean,1-s2.0-S1751731112000316-main.ann
T37,LIVB 73229 73246,Holstein–Friesian,1-s2.0-S1751731112000316-main.ann
T38,LIVB 73778 73786,galician,1-s2.0-S1751731112000316-main.ann
T39,LIVB 76650 76667,Holstein–Friesian,1-s2.0-S1751731112000316-main.ann
T40,LIVB 77107 77124,Holstein–Friesian,1-s2.0-S1751731112000316-main.ann
T0,LIVB 19218 19239,Malaysian palm kernel,10.1007-s11367-014-0755-9.ann
T1,LIVB 23759 23770,Citrus pulp,10.1007-s11367-014-0755-9.ann
T2,LIVB 23778 23789,Corn gluten,10.1007-s11367-014-0755-9.ann
T3,LIVB 24860 24867,USA soy,10.1007-s11367-014-0755-9.ann
T4,LIVB 24914 24924,USA citrus,10.1007-s11367-014-0755-9.ann
T5,LIVB 24962 24977,French rapeseed,10.1007-s11367-014-0755-9.ann
T6,LIVB 24988 24999,German corn,10.1007-s11367-014-0755-9.ann
T7,LIVB 25248 25263,French rapeseed,10.1007-s11367-014-0755-9.ann
T8,LIVB 25562 25579,Brazilian soybean,10.1007-s11367-014-0755-9.ann
T9,LIVB 25591 25606,French rapeseed,10.1007-s11367-014-0755-9.ann
T10,LIVB 56055 56072,Holstein-Friesian,10.1007-s11367-014-0755-9.ann
T11,LIVB 60321 60338,Holstein-Friesian,10.1007-s11367-014-0755-9.ann
T12,LIVB 61222 61239,Holstein-Friesian,10.1007-s11367-014-0755-9.ann
T0,LIVB 1217 1227,Padina sp.,10.1371_journal.pone.0064651.ann
T1,LIVB 1229 1241,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T2,LIVB 1246 1260,Turbinaria sp.,10.1371_journal.pone.0064651.ann
T3,LIVB 6439 6461,Lithothamnion glaciale,10.1371_journal.pone.0064651.ann
T4,LIVB 6673 6684,L. glaciale,10.1371_journal.pone.0064651.ann
T5,LIVB 6850 6872,Lithophyllum cabiochae,10.1371_journal.pone.0064651.ann
T6,LIVB 7037 7050,Corallinaceae,10.1371_journal.pone.0064651.ann
T7,LIVB 7297 7311,coralline alga,10.1371_journal.pone.0064651.ann
T8,LIVB 7312 7330,Corallina sessilis,10.1371_journal.pone.0064651.ann
T9,LIVB 7456 7462,Padina,10.1371_journal.pone.0064651.ann
T10,LIVB 7469 7479,Ochrophyta,10.1371_journal.pone.0064651.ann
T11,LIVB 7481 7492,Dictyoaceae,10.1371_journal.pone.0064651.ann
T12,LIVB 7692 7703,sea urchins,10.1371_journal.pone.0064651.ann
T13,LIVB 9604 9616,U. clathrata,10.1371_journal.pone.0064651.ann
T14,LIVB 9736 9747,L. glaciale,10.1371_journal.pone.0064651.ann
T15,LIVB 10032 10049,Emiliania huxleyi,10.1371_journal.pone.0064651.ann
T16,LIVB 10193 10217,Thalassiosira pseudonana,10.1371_journal.pone.0064651.ann
T17,LIVB 10222 10247,Phaeodactylum tricornutum,10.1371_journal.pone.0064651.ann
T18,LIVB 12417 12432,coralline algae,10.1371_journal.pone.0064651.ann
T19,LIVB 13842 13852,Padina sp.,10.1371_journal.pone.0064651.ann
T20,LIVB 13854 13864,Ochrophyta,10.1371_journal.pone.0064651.ann
T21,LIVB 13866 13877,Dictyotales,10.1371_journal.pone.0064651.ann
T22,LIVB 13880 13892,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T23,LIVB 13906 13918,Corallinales,10.1371_journal.pone.0064651.ann
T24,LIVB 13924 13938,Turbinaria sp.,10.1371_journal.pone.0064651.ann
T25,LIVB 13940 13950,Ochrophyta,10.1371_journal.pone.0064651.ann
T26,LIVB 13967 13977,Padina sp.,10.1371_journal.pone.0064651.ann
T27,LIVB 13982 13994,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T28,LIVB 14039 14053,Turbinaria sp.,10.1371_journal.pone.0064651.ann
T29,LIVB 14758 14766,DMS+DMSP,10.1371_journal.pone.0064651.ann
T30,LIVB 16284 16294,Padina sp.,10.1371_journal.pone.0064651.ann
T31,LIVB 16299 16311,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T32,LIVB 16622 16634,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T33,LIVB 19706 19716,Padina sp.,10.1371_journal.pone.0064651.ann
T34,LIVB 19849 19859,Padina sp.,10.1371_journal.pone.0064651.ann
T35,LIVB 19957 19969,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T36,LIVB 20136 20141,DMSPi,10.1371_journal.pone.0064651.ann
T37,LIVB 20893 20907,Turbinaria sp.,10.1371_journal.pone.0064651.ann
T38,LIVB 21648 21660,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T39,LIVB 21781 21791,Padina sp.,10.1371_journal.pone.0064651.ann
T40,LIVB 21806 21820,Turbinaria sp.,10.1371_journal.pone.0064651.ann
T41,LIVB 21974 21984,Padina sp.,10.1371_journal.pone.0064651.ann
T42,LIVB 22311 22319,seagrass,10.1371_journal.pone.0064651.ann
T43,LIVB 22586 22596,Padina sp.,10.1371_journal.pone.0064651.ann
T44,LIVB 22710 22722,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T45,LIVB 22792 22804,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T46,LIVB 23493 23498,DMSPi,10.1371_journal.pone.0064651.ann
T47,LIVB 23506 23516,Padina sp.,10.1371_journal.pone.0064651.ann
T48,LIVB 23521 23533,Amphiroa sp.,10.1371_journal.pone.0064651.ann
T49,LIVB 23541 23555,Turbinaria sp.,10.1371_journal.pone.0064651.ann
T50,LIVB 23591 23599,DMS+DMSP,10.1371_journal.pone.0064651.ann
T51,LIVB 23950 23955,DMSPi,10.1371_journal.pone.0064651.ann
